"path","decision","reason","mode"
"assets/ttquotes.ico","KEEP (override)","keep-list.txt","Archive"
"extended-settings.html","KEEP (override)","keep-list.txt","Archive"
"index.html","KEEP (override)","keep-list.txt","Archive"
"main.backup.js","ARCHIVE","force-archive.txt+safe-pattern","Archive"
"main.js","KEEP (review)","needs review","Archive"
"modules/allowlist.js","KEEP (review)","needs review","Archive"
"modules/analyticsmanager.js","KEEP (review)","needs review","Archive"
"modules/config.js","KEEP (review)","needs review","Archive"
"modules/displays.js","KEEP (review)","needs review","Archive"
"modules/displayservice.js","KEEP (review)","needs review","Archive"
"modules/extendedconfig.js","KEEP (review)","needs review","Archive"
"modules/favorites.js","KEEP (review)","needs review","Archive"
"modules/favourites-seed.js","KEEP (review)","needs review","Archive"
"modules/ipc/displayhandlers.js","KEEP (review)","needs review","Archive"
"modules/ipc/favoriteshandlers.js","KEEP (review)","needs review","Archive"
"modules/logger.js","KEEP (review)","needs review","Archive"
"modules/performancemonitor.js","KEEP (review)","needs review","Archive"
"modules/refreshmanager.js","KEEP (review)","needs review","Archive"
"modules/refreshmanagersingleton.js","KEEP (review)","needs review","Archive"
"modules/safeload.js","KEEP (review)","needs review","Archive"
"modules/security.js","KEEP (review)","needs review","Archive"
"modules/updatemanager.js","KEEP (review)","needs review","Archive"
"modules/utils.js","KEEP (review)","needs review","Archive"
"modules/wartebildschirme.js","KEEP (review)","needs review","Archive"
"modules/windowmanager.backup.js","ARCHIVE","force-archive.txt+safe-pattern","Archive"
"modules/windowmanager.js","KEEP (review)","needs review","Archive"
"perf-dashboard.client.js","ARCHIVE","force-archive.txt+safe-pattern","Archive"
"performance-dashboard.html","ARCHIVE","force-archive.txt+safe-pattern","Archive"
"preload.js","KEEP (override)","keep-list.txt","Archive"
"renderer.js","KEEP (override)","keep-list.txt","Archive"
"style.css","KEEP (override)","keep-list.txt","Archive"
"tt.png","KEEP (override)","keep-list.txt","Archive"
"tt3.svg","KEEP (override)","keep-list.txt","Archive"
